nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime,batch_size
43,6,1,41,20,2,18.334693,0.00106,0.001046,0.002105,7.71296,1.993664,9.706624,461.35053108446306,1
43,6,1,42,21,2,9.016269,0.00106,0.001046,0.002105,0.607904,0.316,0.923904,3.208631882444024,2
43,6,1,42,21,2,8.989168,0.00106,0.001046,0.002105,0.839328,0.305536,1.144864,3.3139227889478207,4
43,6,1,42,21,2,8.964976,0.00106,0.001046,0.002105,1.263776,0.304416,1.568192,3.7648510187864304,8
43,6,1,42,21,2,9.02261,0.00106,0.001046,0.002105,2.100224,0.304096,2.40432,4.601724911481142,16
43,6,1,42,21,2,9.00673,0.00106,0.001046,0.002105,3.794176,0.305184,4.09936,6.251140963286161,32
43,6,1,42,21,2,9.041136,0.00106,0.001046,0.002105,7.168224,0.3048,7.473024,9.628744097426532,64
43,6,1,42,21,2,9.030965,0.00106,0.001046,0.002105,14.024032,0.30688,14.330912,16.519204946234822,128
43,6,1,42,21,2,9.07805,0.00106,0.001046,0.002105,27.867136,0.31216,28.179296,30.302901053801175,256
43,6,1,42,21,2,9.086624,0.00106,0.001046,0.002105,55.51981,0.318912,55.838722,58.02732799202204,512
43,6,1,42,21,2,9.058814,0.00106,0.001046,0.002105,110.764702,0.270528,111.035233,112.81207809224723,1024
43,6,1,42,21,2,9.019209,0.00106,0.001046,0.002105,221.134781,0.269824,221.404602,223.2833949383348,2048
43,6,1,42,21,2,8.999847,0.00106,0.001046,0.002105,442.758667,0.268288,443.026947,444.82466415502125,4096
43,6,1,42,21,2,9.064217,0.00106,0.001046,0.002105,885.668518,0.2688,885.937317,888.1162561010569,8192
43,6,1,42,21,2,9.108115,0.00106,0.001046,0.002105,1770.600586,0.315232,1770.915771,1772.9410950560125,16384
43,6,1,42,21,2,9.098838,0.00106,0.001046,0.002105,3547.119385,0.377536,3547.496826,3549.7037889435887,32768
43,6,1,42,21,2,9.13154,0.00106,0.001046,0.002105,7086.087891,0.408384,7086.496094,7088.567439932376,65536
