structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,total_nao,cpu_time
alkane_64,192,6,1,30,20,2,384,24.065895
alkane_128,384,6,1,30,21,2,768,20.49367
alkane_256,768,6,1,30,21,2,1536,29.94376
alkane_512,1536,6,1,30,21,2,3072,81.304116
alkane_1024,3072,6,1,30,21,2,6144,272.587032
