structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_transfer_time
GLU,29,6,1,28,14,2,25.381438,0.000453,0.000444,0.000896,5.328288,0.394912,5.7232,1.207232
alkane_64,192,6,1,30,20,2,29.000436,0.013026,0.012976,0.026002,0.506432,0.271712,0.778144,6.69024
alkane_128,384,6,1,30,21,2,34.355822,0.052005,0.051905,0.103909,0.582848,0.256384,0.839232,20.928736
dna,387,6,2,164,69,3,41.697812,0.232068,0.231803,0.463871,3.563616,0.804192,4.367808,85.530014
alkane_256,768,6,1,30,21,2,49.733618,0.207819,0.207618,0.415437,0.881792,0.236352,1.118144,79.612099
1lyz-lysozyme,1102,6,2,311,99,3,301.801898,1.7499,1.748891,3.498792,9.293184,0.840416,10.1336,635.866882
103l-hydrolase,1404,6,2,315,99,3,379.533521,2.816439,2.81515,5.631588,11.196736,0.855552,12.052288,1015.074097
alkane_512,1536,6,1,30,21,2,105.889237,0.830875,0.830472,1.661347,1.46448,0.459776,1.924256,295.454285
