structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,4.809195,1e-06,0.0,2e-06,11.836416,2.1248,13.961216,184.22476295381784
GLU,29,6,1,28,14,2,3.91774,0.000453,0.000444,0.000896,0.687104,0.285696,0.9728,2.9761046171188354
alkane_10,30,6,1,25,13,2,64.393634,0.000324,0.000317,0.000641,0.73216,0.388096,1.120256,2.7951509691774845
dna,387,6,2,165,69,3,54.365173,0.232068,0.231803,0.463871,25.573376,1.522688,27.096064,302.87511367350817
alkane_342,1026,6,1,30,21,2,108.041857,0.370811,0.370542,0.741353,8.603648,0.77824,9.381888,440.8697141334415
1lyz-lysozyme,1102,6,2,310,99,3,488.096041,1.749899,1.748891,3.498791,93.76973,2.029568,95.799301,1986.6867079399528
103l-hydrolase,1404,6,2,313,99,3,549.462852,2.816439,2.81515,5.631588,118.573059,2.552832,121.125893,4323.723287787288
alkane_674,2022,6,1,30,21,2,416.36835,1.439677,1.439146,2.878823,16.883713,1.36192,18.245632,1618.4827471151948
alkane_1006,3018,6,1,30,21,2,744.226789,3.206922,3.20613,6.413052,25.228289,1.984512,27.212801,3370.9621261805296
alkane_1338,4014,6,1,30,21,2,1227.754813,5.672547,5.671493,11.34404,33.465343,2.440192,35.905537,6014.503188896924
alkane_1671,5013,6,1,30,21,2,1874.065033,8.847136,8.845819,17.692955,41.278465,2.720768,43.999233,9162.169670220464
