structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.557684,1e-06,0.0,2e-06,11.795456,2.12992,13.925376,184.7329051233828
alkane_10,30,6,1,25,13,2,2.403706,0.000324,0.000317,0.000641,0.902144,0.498688,1.400832,2.817930653691292
dna,387,6,2,165,69,3,196.944326,0.232067,0.231803,0.463871,24.745983,1.396736,26.142719,307.2074120864272
alkane_342,1026,6,1,30,21,2,144.513652,0.370811,0.370542,0.741353,8.773632,0.879616,9.653248,477.7285531163216
1lyz-lysozyme,1102,6,2,311,99,3,1164.600934,1.7499,1.748891,3.498791,93.540352,2.23232,95.772675,2441.1104833707213
103l-hydrolase,1404,6,2,310,99,3,1191.987614,2.816439,2.81515,5.631589,118.991875,2.557952,121.549828,3451.392463874072
alkane_674,2022,6,1,30,21,2,461.447135,1.439677,1.439146,2.878823,16.800768,1.461248,18.262016,1577.873504254967
alkane_1006,3018,6,1,30,21,2,1003.467109,3.206922,3.20613,6.413052,24.929279,1.841152,26.770432,3383.7530198507006
alkane_1338,4014,6,1,30,21,2,1441.54196,5.672547,5.671493,11.34404,33.160191,2.414592,35.574783,6045.440721791238
alkane_1671,5013,6,1,30,21,2,1897.485122,8.847136,8.845819,17.692955,41.176064,2.712576,43.888641,9103.57466666028
