structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,2.42097,1e-06,0.0,2e-06,11.813888,2.139136,13.953024,185.1750081405044
SiH4,5,6,2,4,2,3,2.040753,1.8e-05,1.5e-05,3.3e-05,0.27648,0.70144,0.97792,2.166387625038624
GLU,29,6,1,28,14,2,2.640226,0.000453,0.000444,0.000896,0.613376,0.319488,0.932864,2.694059163331985
alkane_10,30,6,1,25,13,2,2.587843,0.000324,0.000317,0.000641,0.877568,0.397312,1.27488,2.7469759806990623
dna,387,6,2,164,69,3,74.398609,0.232068,0.231803,0.463871,24.574976,1.386496,25.961472,300.31372606754303
alkane_342,1026,6,1,30,21,2,59.054803,0.370811,0.370542,0.741353,8.805376,0.766976,9.572352,527.9385028406978
1lyz-lysozyme,1102,6,2,311,99,3,493.069651,1.7499,1.748891,3.498792,93.513725,2.040832,95.554558,1981.491621118039
103l-hydrolase,1404,6,2,312,99,3,548.729653,2.816439,2.81515,5.631588,118.313988,2.599936,120.913925,3487.9999910481274
alkane_674,2022,6,1,30,21,2,320.705061,1.439677,1.439146,2.878823,16.78336,1.337344,18.120703,1585.07561404258
alkane_1006,3018,6,1,30,21,2,736.32278,3.206922,3.20613,6.413052,24.920065,1.954816,26.874882,3483.0130189657207
alkane_1338,4014,6,1,30,21,2,1001.707913,5.672547,5.671493,11.34404,33.067009,2.368512,35.43552,5968.144007027149
alkane_1671,5013,6,1,30,21,2,1388.269326,8.847136,8.845819,17.692955,41.178112,2.706432,43.884544,9709.2749979347
