structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.060359,1e-06,0.0,2e-06,11.777024,2.130944,13.907969,190.291800070554
alkane_10,30,6,1,25,13,2,4.669934,0.000324,0.000317,0.000641,0.806912,0.510976,1.317888,2.734642941504717
dna,387,6,2,165,69,3,671.022745,0.232068,0.231803,0.463871,25.673729,1.519616,27.193344,389.48206370696425
alkane_342,1026,6,1,30,21,2,243.309062,0.370811,0.370542,0.741353,8.799232,0.888832,9.688064,448.5840136185288
1lyz-lysozyme,1102,6,2,312,99,3,1927.08162,1.749899,1.748891,3.498791,93.657089,2.250752,95.907845,1935.71501923725
103l-hydrolase,1404,6,2,311,99,3,2510.046135,2.816439,2.81515,5.631589,119.032829,2.369536,121.402367,3253.4802542068064
alkane_674,2022,6,1,30,21,2,658.823954,1.439677,1.439146,2.878823,16.779264,1.542144,18.321409,1576.4841819182038
alkane_1006,3018,6,1,30,21,2,1162.589156,3.206922,3.20613,6.413052,24.925184,1.830912,26.756096,3380.2268630824983
alkane_1338,4014,6,1,30,21,2,1708.093163,5.672547,5.671493,11.34404,33.07008,2.414592,35.484673,5895.425397902727
alkane_1671,5013,6,1,30,21,2,2291.736848,8.847136,8.845819,17.692955,41.340927,2.86208,44.203007,9905.612615868447
