structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.307158,1e-06,0.0,2e-06,11.826176,2.1248,13.950975,185.8386462554336
alkane_10,30,6,1,25,13,2,2.634536,0.000324,0.000317,0.000641,0.714752,0.333824,1.048576,2.4688798002898693
dna,387,6,2,164,69,3,352.446819,0.232068,0.231803,0.463871,24.856577,1.380352,26.236929,309.41313318908215
alkane_342,1026,6,1,30,21,2,146.243701,0.370811,0.370542,0.741353,8.996864,0.943104,9.939968,537.0331089943649
1lyz-lysozyme,1102,6,2,309,99,3,981.045086,1.7499,1.748891,3.498791,93.899773,2.075648,95.975418,2453.1134851276875
103l-hydrolase,1404,6,2,314,99,3,1634.801191,2.816439,2.81515,5.631588,118.994942,2.3552,121.350143,3670.022801030427
alkane_674,2022,6,1,30,21,2,545.083925,1.439677,1.439146,2.878823,16.781313,1.29536,18.076674,1777.8885550796986
alkane_1006,3018,6,1,30,21,2,957.965191,3.206922,3.20613,6.413052,24.869888,1.798144,26.668032,3362.683713901788
alkane_1338,4014,6,1,30,21,2,1249.427011,5.672547,5.671493,11.34404,32.993279,2.272256,35.265533,6227.3983978666365
alkane_1671,5013,6,1,30,21,2,2002.946483,8.847136,8.845819,17.692955,41.348095,2.793472,44.141567,9079.704467672855
