structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.766908,1e-06,0.0,2e-06,6.240608,0.436224,6.676832,72.68861199918318
alkane_10,30,6,1,25,13,2,1.570665,0.000324,0.000317,0.000641,2.378656,0.994432,3.373088,4.070702001627069
dna,387,6,2,165,69,3,158.033763,0.232068,0.231803,0.463871,280.349701,7.087264,287.436951,396.37761199992383
alkane_342,1026,6,1,30,21,2,76.924462,0.370811,0.370542,0.741353,66.747391,4.49136,71.238754,248.67517999882693
1lyz-lysozyme,1102,6,2,310,99,3,432.311274,1.7499,1.748891,3.498791,834.451477,13.636608,848.088074,1659.250961001817
103l-hydrolase,1404,6,2,311,99,3,585.917601,2.816438,2.81515,5.631588,1047.849365,16.327841,1064.177246,2328.957672998513
alkane_674,2022,6,1,30,21,2,217.50211,1.439677,1.439146,2.878823,131.840958,8.327168,140.168121,814.1056900021794
alkane_1006,3018,6,1,30,21,2,371.652797,3.206922,3.20613,6.413052,197.421799,12.351872,209.773666,1614.0365510000263
alkane_1338,4014,6,1,30,21,2,573.108098,5.672547,5.671493,11.34404,263.204926,15.665312,278.870239,2766.7753139976408
alkane_1671,5013,6,1,30,21,2,852.149629,8.847136,8.845819,17.692955,12365.681641,685.024109,13050.706055,16237.305211001512
