structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,1.451938,1e-06,0.0,2e-06,10.128128,0.338144,10.466272,74.9602350006171
GLU,29,6,1,28,14,2,3.091681,0.000453,0.000444,0.000896,3.212128,0.87984,4.091968,5.240849997790065
alkane_10,30,6,1,25,13,2,1.980072,0.000324,0.000317,0.000641,2.588608,0.995328,3.583936,4.164457001024857
dna,387,6,2,165,69,3,107.834071,0.232067,0.231803,0.463871,317.502258,8.236032,325.738281,425.9598050011846
alkane_342,1026,6,1,30,21,2,61.686387,0.370811,0.370542,0.741353,80.313347,5.86656,86.179909,241.3499120011693
1lyz-lysozyme,1102,6,2,313,99,3,326.275669,1.7499,1.748891,3.498791,960.817139,16.13616,976.953308,1713.862157001131
103l-hydrolase,1404,6,2,312,99,3,444.103498,2.816439,2.81515,5.631588,1207.31543,19.387392,1226.702881,2402.3805279975927
alkane_674,2022,6,1,30,21,2,166.061027,1.439677,1.439146,2.878823,158.580505,10.417152,168.99765,755.221426999924
alkane_1006,3018,6,1,30,21,2,333.289578,3.206922,3.20613,6.413052,236.398651,14.3872,250.785858,1671.361499997147
alkane_1338,4014,6,1,30,21,2,512.57986,5.672547,5.671493,11.34404,314.105042,19.075808,333.180847,2724.669207997067
alkane_1671,5013,6,1,30,21,2,768.272348,8.847136,8.845819,17.692955,11369.717773,659.371948,12029.089844,14778.321018999122
