structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,3.126008,1e-06,0.0,2e-06,8.90672,0.376832,9.283552,87.6506819986389
alkane_10,30,6,1,25,13,2,2.795573,0.000324,0.000317,0.000641,2.302272,0.905344,3.207616,3.910194998752559
dna,387,6,2,165,69,3,120.170421,0.232068,0.231803,0.463871,258.765839,7.129184,265.89502,372.0690199988894
alkane_342,1026,6,1,30,21,2,55.956274,0.370811,0.370542,0.741353,66.607101,4.470944,71.078049,241.6535259981174
1lyz-lysozyme,1102,6,2,310,99,3,261.871324,1.7499,1.748891,3.498792,834.034668,13.752192,847.786865,1633.0110720009543
103l-hydrolase,1404,6,2,312,99,3,370.291513,2.816438,2.81515,5.631588,1047.455933,16.241024,1063.696899,2283.597240002564
alkane_674,2022,6,1,30,21,2,162.417333,1.439677,1.439146,2.878823,132.690079,8.307968,140.998047,770.4821010011074
alkane_1006,3018,6,1,30,21,2,284.496844,3.206922,3.20613,6.413052,197.701279,12.311552,210.012833,1609.410796998418
alkane_1338,4014,6,1,30,21,2,488.781603,5.672547,5.671493,11.34404,263.5896,15.612928,279.202515,2684.8312500005704
alkane_1671,5013,6,1,30,21,2,748.699416,8.847136,8.845819,17.692955,12765.625977,672.724731,13438.350586,16788.871223998285
