structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.052038,1e-06,0.0,2e-06,6.083584,0.385216,6.4688,1513.157415000023
alkane_10,30,6,1,25,13,2,3.157966,0.000324,0.000317,0.000641,2.42,0.974848,3.394848,4.13327800197294
dna,387,6,2,164,69,3,463.302876,0.232067,0.231803,0.463871,268.163086,7.191552,275.354645,376.43594999826746
alkane_342,1026,6,1,30,21,2,175.225207,0.370811,0.370542,0.741353,66.644989,4.572192,71.217178,223.84257199882995
1lyz-lysozyme,1102,6,2,310,99,3,1127.856173,1.7499,1.748891,3.498791,837.918579,13.484032,851.402588,1601.3347760017496
103l-hydrolase,1404,6,2,313,99,3,1690.300022,2.816439,2.81515,5.631588,1048.050537,16.222208,1064.272705,2307.191266998416
alkane_674,2022,6,1,30,21,2,384.814244,1.439677,1.439146,2.878823,131.50621,8.390656,139.896866,796.6770819984959
alkane_1006,3018,6,1,30,21,2,641.953991,3.206922,3.20613,6.413052,197.186401,12.250304,209.436707,1569.870183000603
alkane_1338,4014,6,1,30,21,2,956.147684,5.672547,5.671493,11.34404,262.100983,15.516352,277.61734,2603.186153999559
alkane_1671,5013,6,1,30,21,2,1322.314001,8.847136,8.845819,17.692955,12930.203125,672.908264,13603.111328,16756.19485000061
