structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,18.96944,1e-06,0.0,2e-06,6.417216,0.386048,6.803264,152.786891998403
GLU,29,6,1,28,14,2,3.813761,0.000453,0.000444,0.000896,3.24544,0.884736,4.130176,4.965830001310678
alkane_10,30,6,1,25,13,2,3.523442,0.000324,0.000317,0.000641,2.224,0.953248,3.177248,4.1980419991887175
dna,387,6,2,164,69,3,63.60902,0.232068,0.231803,0.463871,294.848602,7.16288,302.011475,406.93293499862193
alkane_342,1026,6,1,30,21,2,64.043944,0.370811,0.370542,0.741353,66.535583,4.508928,71.04451,232.4591370015696
1lyz-lysozyme,1102,6,2,309,99,3,453.511451,1.7499,1.748891,3.498791,833.933533,13.699072,847.632629,1589.4385810024687
103l-hydrolase,1404,6,2,312,99,3,472.681797,2.816439,2.81515,5.631588,1048.667114,16.372736,1065.039795,2255.325461999746
alkane_674,2022,6,1,30,21,2,148.178728,1.439677,1.439146,2.878823,132.087814,8.40192,140.489731,756.235185002879
alkane_1006,3018,6,1,30,21,2,320.16047,3.206922,3.20613,6.413052,198.469635,12.604416,211.074051,1597.2173599984671
alkane_1338,4014,6,1,30,21,2,543.60588,5.672547,5.671493,11.34404,264.362885,15.589408,279.952301,2703.59358999849
alkane_1671,5013,6,1,30,21,2,740.552855,8.847136,8.845819,17.692955,12091.211914,671.783875,12762.996094,15914.129380998927
