structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,8.637216,1e-06,0.0,2e-06,11.78112,2.204672,13.985792,424.4990278966725
GLU,29,6,1,28,14,2,7.929677,0.000453,0.000444,0.000896,0.555008,0.309248,0.864256,2.7344198897480965
alkane_10,30,6,1,25,13,2,16.997603,0.000324,0.000317,0.000641,0.812032,0.402432,1.214464,2.9577799141407013
dna,387,6,2,164,69,3,43.255553,0.232067,0.231803,0.463871,11.11552,1.16736,12.28288,265.47195413149893
alkane_342,1026,6,1,30,21,2,48.169612,0.370811,0.370542,0.741353,4.358144,0.65536,5.013504,369.5838400162757
1lyz-lysozyme,1102,6,2,310,99,3,330.998312,1.7499,1.748891,3.498791,37.458942,1.625088,39.08403,2550.685324007645
103l-hydrolase,1404,6,2,311,99,3,302.576365,2.816439,2.81515,5.631588,47.124481,1.727488,48.851971,3390.1602139230818
alkane_674,2022,6,1,30,21,2,136.438534,1.439677,1.439146,2.878823,8.019968,0.871424,8.891392,1527.8647090308368
alkane_1006,3018,6,1,30,21,2,332.247745,3.206922,3.20613,6.413052,11.703296,1.153024,12.856319,3014.573754975572
alkane_1338,4014,6,1,30,21,2,651.559156,5.672547,5.671493,11.34404,15.469568,1.291264,16.760832,6136.436481960118
alkane_1671,5013,6,1,30,21,2,948.954166,8.847136,8.845819,17.692955,19.228672,1.544192,20.772863,9232.684932881966
