structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.065253,1e-06,0.0,2e-06,14.808064,2.091008,16.899073,538.7306960765272
alkane_10,30,6,1,25,13,2,2.463961,0.000324,0.000317,0.000641,1.017856,0.44032,1.458176,3.224159823730588
dna,387,6,2,165,69,3,359.954736,0.232068,0.231803,0.463871,11.24352,1.097728,12.341248,1778.7168680224568
alkane_342,1026,6,1,30,21,2,159.510584,0.370811,0.370542,0.741353,4.273152,0.616448,4.8896,337.49176491983235
1lyz-lysozyme,1102,6,2,309,99,3,968.713571,1.7499,1.748891,3.498791,37.45792,1.66912,39.127041,8407.380577875301
103l-hydrolase,1404,6,2,312,99,3,1303.454317,2.816439,2.81515,5.631588,47.118336,1.821696,48.940033,4257.22408015281
alkane_674,2022,6,1,30,21,2,350.580338,1.439677,1.439146,2.878823,7.931904,0.830464,8.762368,1208.953778957948
alkane_1006,3018,6,1,30,21,2,625.533921,3.206922,3.20613,6.413052,11.723776,1.123328,12.847104,2969.2867849953477
alkane_1338,4014,6,1,30,21,2,1023.147645,5.672547,5.671493,11.34404,15.484928,1.327104,16.812033,7080.099035054444
alkane_1671,5013,6,1,30,21,2,1187.905809,8.847136,8.845819,17.692955,19.232767,1.486848,20.719616,8141.2777681835
