structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,1.336753,1e-06,0.0,2e-06,10.497024,2.10432,12.601343,430.3241597954184
GLU,29,6,1,28,14,2,1.68621,0.000453,0.000444,0.000896,0.557056,0.315392,0.872448,2.5419779121875763
alkane_10,30,6,1,25,13,2,4.315472,0.000324,0.000317,0.000641,0.719872,0.420864,1.140736,2.71222903393209
dna,387,6,2,165,69,3,74.555386,0.232067,0.231803,0.463871,11.129856,1.133568,12.263424,277.9546140227467
alkane_342,1026,6,1,30,21,2,63.435484,0.370811,0.370542,0.741353,4.18304,0.586752,4.769792,345.3238350339234
1lyz-lysozyme,1102,6,2,310,99,3,425.848759,1.7499,1.748891,3.498791,37.458942,1.58208,39.041023,2044.581260997802
103l-hydrolase,1404,6,2,312,99,3,585.65629,2.816439,2.81515,5.631589,47.162369,1.687552,48.849922,2945.0705810450017
alkane_674,2022,6,1,30,21,2,146.533838,1.439677,1.439146,2.878823,7.940096,0.919552,8.859648,1435.4172591120005
alkane_1006,3018,6,1,30,21,2,386.383971,3.206922,3.20613,6.413052,11.798528,1.153024,12.951551,3233.114533126354
alkane_1338,4014,6,1,30,21,2,559.265811,5.672547,5.671493,11.34404,15.458304,1.366016,16.82432,5766.96185185574
alkane_1671,5013,6,1,30,21,2,990.769763,8.847136,8.845819,17.692955,19.228672,1.499136,20.727808,8666.679332964122
