structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.48393,1e-06,0.0,2e-06,12.9792,2.159616,15.138817,429.8327949363738
GLU,29,6,1,28,14,2,1.631206,0.000453,0.000444,0.000896,0.617472,0.33792,0.955392,2.93173105455935
alkane_10,30,6,1,25,13,2,1.43099,0.000324,0.000317,0.000641,0.843776,0.44544,1.289216,2.864734968170524
dna,387,6,2,165,69,3,117.34352,0.232067,0.231803,0.463871,11.215872,1.165312,12.381184,276.8505550920964
alkane_342,1026,6,1,30,21,2,62.712832,0.370811,0.370542,0.741353,4.284416,0.62976,4.914176,401.2073630001396
1lyz-lysozyme,1102,6,2,310,99,3,583.620812,1.7499,1.748891,3.498791,37.398529,1.594368,38.992897,2049.154194071889
103l-hydrolase,1404,6,2,311,99,3,568.231677,2.816439,2.81515,5.631589,47.053825,1.641472,48.695297,3233.0451018642634
alkane_674,2022,6,1,30,21,2,173.616088,1.439677,1.439146,2.878823,7.981056,0.867328,8.848384,1305.63675891608
alkane_1006,3018,6,1,30,21,2,354.365817,3.206922,3.20613,6.413052,11.73504,1.160192,12.895231,2754.7433348372574
alkane_1338,4014,6,1,30,21,2,546.66588,5.672547,5.671493,11.34404,15.483904,1.289216,16.773121,5616.630793083459
alkane_1671,5013,6,1,30,21,2,923.646942,8.847136,8.845819,17.692955,19.233791,1.494016,20.727808,8352.809272008017
