structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.244098,1e-06,0.0,2e-06,11.922432,2.151424,14.073856,429.42444211803377
GLU,29,6,1,28,14,2,2.987746,0.000453,0.000444,0.000896,0.603136,0.330752,0.933888,2.8157630003988743
alkane_10,30,6,1,25,13,2,1.793311,0.000324,0.000317,0.000641,0.858112,0.439296,1.297408,3.021509852260351
dna,387,6,2,164,69,3,249.603013,0.232068,0.231803,0.463871,11.189248,1.175552,12.3648,275.44888481497765
alkane_342,1026,6,1,30,21,2,95.206174,0.370811,0.370542,0.741353,4.48,0.666624,5.146624,413.41712092980737
1lyz-lysozyme,1102,6,2,313,99,3,581.711048,1.7499,1.748891,3.498791,37.469185,1.539072,39.008255,1887.6120469067248
103l-hydrolase,1404,6,2,310,99,3,775.595987,2.816439,2.81515,5.631588,47.000576,1.645568,48.646145,3020.443415967748
alkane_674,2022,6,1,30,21,2,235.205816,1.439677,1.439146,2.878823,8.209408,0.92672,9.136127,1514.6071300841868
alkane_1006,3018,6,1,30,21,2,402.231258,3.206922,3.20613,6.413052,11.855872,1.152,13.007872,3064.917067065835
alkane_1338,4014,6,1,30,21,2,653.850032,5.672547,5.671493,11.34404,15.490048,1.306624,16.796673,5032.319612102583
alkane_1671,5013,6,1,30,21,2,973.417558,8.847136,8.845819,17.692955,19.198977,1.49504,20.694017,7959.61541007273
