structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,1.313335,1e-06,0.0,2e-06,16.458752,0.473952,16.932703,242.05866898410025
alkane_10,30,6,1,25,13,2,1.847698,0.000324,0.000317,0.000641,0.675712,0.372736,1.048448,2.301072934642434
dna,387,6,2,165,69,3,79.541367,0.232067,0.231803,0.463871,9.701248,0.917568,10.618816,271.01053192745894
alkane_342,1026,6,1,30,21,2,62.074399,0.370811,0.370542,0.741353,4.53808,0.645376,5.183456,383.5176350548864
1lyz-lysozyme,1102,6,2,312,99,3,304.663871,1.7499,1.748891,3.498791,31.955969,1.380736,33.336704,1398.4547860454768
103l-hydrolase,1404,6,2,315,99,3,440.175617,2.816439,2.81515,5.631589,41.054207,1.552096,42.606304,2397.0891389762983
alkane_674,2022,6,1,30,21,2,189.174273,1.439677,1.439146,2.878823,8.69984,0.8368,9.536639,1170.6641640048474
alkane_1006,3018,6,1,30,21,2,369.574848,3.206922,3.20613,6.413052,12.834816,1.196032,14.030848,2589.7274269955237
alkane_1338,4014,6,1,30,21,2,593.762066,5.672547,5.671493,11.34404,17.16736,1.357824,18.525185,4737.145498977043
alkane_1671,5013,6,1,30,21,2,881.019853,8.847136,8.845819,17.692955,21.312511,1.787904,23.100416,6939.193733036518
