structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,2.747698,1e-06,0.0,2e-06,16.601952,0.451584,17.053535,253.8194039370865
GLU,29,6,1,28,14,2,2.58387,0.000453,0.000444,0.000896,0.495616,0.244448,0.740064,2.3331429110839963
alkane_10,30,6,1,25,13,2,3.129483,0.000324,0.000317,0.000641,0.859328,0.514144,1.373472,2.688108943402767
dna,387,6,2,165,69,3,56.560004,0.232068,0.231803,0.463871,9.7656,0.938112,10.703712,263.1694459123537
alkane_342,1026,6,1,30,21,2,53.491799,0.370811,0.370542,0.741353,4.538432,0.590176,5.128608,375.4137229407206
1lyz-lysozyme,1102,6,2,312,99,3,248.96487,1.7499,1.748891,3.498791,31.741953,1.371136,33.113091,1632.3078359710053
103l-hydrolase,1404,6,2,313,99,3,362.095228,2.816439,2.81515,5.631588,41.040897,1.534272,42.575169,2524.4415139313787
alkane_674,2022,6,1,30,21,2,172.093193,1.439677,1.439146,2.878823,8.754176,0.833536,9.587712,1200.066093937494
alkane_1006,3018,6,1,30,21,2,338.126107,3.206922,3.20613,6.413052,12.839936,1.224704,14.06464,2614.17627800256
alkane_1338,4014,6,1,30,21,2,547.875324,5.672547,5.671493,11.34404,17.166464,1.37728,18.543743,4535.825968021527
alkane_1671,5013,6,1,30,21,2,819.631943,8.847136,8.845819,17.692955,21.295103,1.684224,22.979326,7401.634232024662
