structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.053099,1e-06,0.0,2e-06,16.897984,0.473088,17.371071,275.0115639064461
alkane_10,30,6,1,25,13,2,2.656649,0.000324,0.000317,0.000641,0.921664,0.5312,1.452864,2.543370006605983
dna,387,6,2,164,69,3,391.744024,0.232068,0.231803,0.463871,9.749504,0.969728,10.719233,258.7364740902558
alkane_342,1026,6,1,30,21,2,159.813987,0.370811,0.370542,0.741353,4.537344,0.591776,5.12912,370.6207220675424
1lyz-lysozyme,1102,6,2,312,99,3,1017.718019,1.7499,1.748891,3.498791,31.966112,1.379328,33.34544,1571.6458540409803
103l-hydrolase,1404,6,2,312,99,3,1341.127962,2.816439,2.81515,5.631588,40.98048,1.557504,42.537983,2418.3381509501487
alkane_674,2022,6,1,30,21,2,389.065567,1.439677,1.439146,2.878823,8.735744,0.898304,9.634048,1208.0890539800748
alkane_1006,3018,6,1,30,21,2,663.428991,3.206922,3.20613,6.413052,12.868416,1.191936,14.060352,2624.1106600500643
alkane_1338,4014,6,1,30,21,2,992.394481,5.672547,5.671493,11.34404,17.166336,1.427456,18.593792,4627.798091969453
alkane_1671,5013,6,1,30,21,2,1382.064918,8.847136,8.845819,17.692955,21.297152,1.72736,23.024511,7085.911244968884
