structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.307987,1e-06,0.0,2e-06,16.311296,0.39968,16.710976,244.31839596945792
alkane_10,30,6,1,25,13,2,2.275084,0.000324,0.000317,0.000641,0.821408,0.361696,1.183104,2.2893729619681835
dna,387,6,2,165,69,3,223.826275,0.232067,0.231803,0.463871,9.668608,0.93696,10.605568,241.98274302762
alkane_342,1026,6,1,30,21,2,108.900223,0.370811,0.370542,0.741353,4.531328,0.637728,5.169056,385.9551689820364
1lyz-lysozyme,1102,6,2,310,99,3,666.115636,1.7499,1.748891,3.498791,31.839231,1.373184,33.212414,1578.6151851061732
103l-hydrolase,1404,6,2,312,99,3,880.138007,2.816439,2.81515,5.631588,40.999039,1.533888,42.532928,2356.8685699719936
alkane_674,2022,6,1,30,21,2,283.745848,1.439677,1.439146,2.878823,8.71136,0.831424,9.542784,1151.3590819668025
alkane_1006,3018,6,1,30,21,2,511.129043,3.206922,3.20613,6.413052,12.852224,1.14816,14.000384,2539.659568923525
alkane_1338,4014,6,1,30,21,2,798.217624,5.672547,5.671493,11.34404,17.134497,1.374016,18.508512,4720.153669943102
alkane_1671,5013,6,1,30,21,2,1107.47841,8.847136,8.845819,17.692955,21.288288,1.709984,22.998272,7129.374390933664
