structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.658932,1e-06,0.0,2e-06,17.211456,0.479232,17.690689,246.3640549685806
alkane_10,30,6,1,25,13,2,1.75521,0.000324,0.000317,0.000641,0.848896,0.434176,1.283072,2.4913109373301268
dna,387,6,2,164,69,3,127.864683,0.232068,0.231803,0.463871,9.742112,0.948224,10.690336,280.53250804077834
alkane_342,1026,6,1,30,21,2,77.280041,0.370811,0.370542,0.741353,4.41248,0.625664,5.038144,392.79065397568047
1lyz-lysozyme,1102,6,2,310,99,3,433.860936,1.7499,1.748891,3.498791,31.830208,1.38752,33.217728,1588.126664981246
103l-hydrolase,1404,6,2,313,99,3,584.781211,2.816438,2.81515,5.631588,41.015297,1.55136,42.566658,2267.5177479395643
alkane_674,2022,6,1,30,21,2,221.265738,1.439677,1.439146,2.878823,8.711168,0.836448,9.547616,1247.1353620057926
alkane_1006,3018,6,1,30,21,2,412.770151,3.206922,3.20613,6.413052,12.838912,1.140864,13.979776,2739.769655046985
alkane_1338,4014,6,1,30,21,2,667.359764,5.672547,5.671493,11.34404,17.149984,1.386368,18.536352,4752.913116011769
alkane_1671,5013,6,1,30,21,2,945.671213,8.847136,8.845819,17.692955,21.344065,1.709056,23.053122,7042.203326011077
