structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,5.359148,1e-06,0.0,2e-06,16.4608,0.4864,16.947201,244.45005494635552
alkane_10,30,6,1,25,13,2,6.302737,0.000324,0.000317,0.000641,0.666624,0.357568,1.024192,2.290152944624424
dna,387,6,2,164,69,3,44.766411,0.232068,0.231803,0.463871,9.668608,0.947872,10.61648,260.46269899234176
alkane_342,1026,6,1,30,21,2,52.163425,0.370811,0.370542,0.741353,4.54448,0.652288,5.196768,368.64902498200536
1lyz-lysozyme,1102,6,2,309,99,3,220.525073,1.7499,1.748891,3.498791,31.933439,1.402016,33.335457,1416.3028649054468
103l-hydrolase,1404,6,2,312,99,3,325.307688,2.816439,2.81515,5.631589,41.017345,1.554432,42.571777,2346.1277439491823
alkane_674,2022,6,1,30,21,2,163.642543,1.439677,1.439146,2.878823,8.713504,0.84176,9.555264,1135.764559963718
alkane_1006,3018,6,1,30,21,2,331.831233,3.206922,3.20613,6.413052,12.820224,1.109216,13.92944,2679.265295038931
alkane_1338,4014,6,1,30,21,2,531.837934,5.672547,5.671493,11.34404,17.142784,1.339392,18.482176,4452.715249964968
alkane_1671,5013,6,1,30,21,2,838.152464,8.847136,8.845819,17.692955,21.325537,1.674464,23.0,7102.5066879810765
