structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.039388,1e-06,0.0,2e-06,10.288768,0.67728,10.966048,714.9632370565088
alkane_10,30,6,1,25,13,2,2.708046,0.000324,0.000317,0.000641,0.405888,0.233856,0.639744,1.5968990046530962
dna,387,6,2,165,69,3,394.003176,0.232068,0.231803,0.463871,5.965184,0.724544,6.689728,184.56280487589535
alkane_342,1026,6,1,30,21,2,160.347482,0.370811,0.370542,0.741353,2.125312,0.387776,2.513088,232.97130409628156
1lyz-lysozyme,1102,6,2,311,99,3,1033.168801,1.7499,1.748891,3.498791,17.698591,0.994016,18.692608,1166.187345981598
103l-hydrolase,1404,6,2,313,99,3,1350.966202,2.816439,2.81515,5.631589,22.201599,1.028512,23.23011,1710.3897929191587
alkane_674,2022,6,1,30,21,2,397.49775,1.439677,1.439146,2.878823,3.924544,0.454688,4.379232,835.6280121952294
alkane_1006,3018,6,1,30,21,2,716.446799,3.206922,3.20613,6.413052,5.764256,0.638016,6.402272,1900.7749848533424
alkane_1338,4014,6,1,30,21,2,1246.551767,5.672547,5.671493,11.34404,7.655776,0.738816,8.394592,3048.4553598798807
alkane_1671,5013,6,1,30,21,2,1594.932047,8.847136,8.845819,17.692955,9.446784,0.955424,10.402208,4696.877573849632
