structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,2.693663,1e-06,0.0,2e-06,9.888608,0.678432,10.567039,647.8363228961825
S2,2,6,2,1,0,3,2.189638,3e-05,2.9e-05,5.9e-05,1.919264,1.04272,2.961984,3.9687638636678457
alkane_10,30,6,1,25,13,2,2.52979,0.000324,0.000317,0.000641,0.427616,0.230016,0.657632,1.6495089512318373
dna,387,6,2,164,69,3,54.903499,0.232068,0.231803,0.463871,6.022912,0.742944,6.765856,168.4906899463385
alkane_342,1026,6,1,30,21,2,53.807444,0.370811,0.370542,0.741353,2.124288,0.399392,2.52368,231.09919298440215
1lyz-lysozyme,1102,6,2,310,99,3,363.315243,1.7499,1.748891,3.498791,17.691584,0.949824,18.641407,1173.300442053005
103l-hydrolase,1404,6,2,311,99,3,390.476033,2.816439,2.81515,5.631588,22.172352,1.028768,23.20112,1659.848331939429
alkane_674,2022,6,1,30,21,2,182.554826,1.439677,1.439146,2.878823,3.923264,0.453408,4.376672,871.0039251018316
alkane_1006,3018,6,1,30,21,2,390.948337,3.206922,3.20613,6.413052,5.75808,0.637856,6.395936,1817.388239782304
alkane_1338,4014,6,1,30,21,2,680.779083,5.672547,5.671493,11.34404,7.645376,0.739552,8.384928,3079.3521720916037
alkane_1671,5013,6,1,30,21,2,1044.552659,8.847136,8.845819,17.692955,9.450144,0.954208,10.404352,4762.490544002503
