structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,1.378446,1e-06,0.0,2e-06,9.968992,0.684544,10.653536,659.7281079739332
alkane_10,30,6,1,25,13,2,1.237086,0.000324,0.000317,0.000641,0.450464,0.239136,0.6896,1.6613020561635494
dna,387,6,2,164,69,3,77.728699,0.232067,0.231803,0.463871,5.93248,0.66864,6.60112,131.93579600192606
alkane_342,1026,6,1,30,21,2,61.474416,0.370811,0.370542,0.741353,2.126144,0.400256,2.5264,236.82819213718176
1lyz-lysozyme,1102,6,2,311,99,3,419.857613,1.7499,1.748891,3.498791,17.716864,1.003008,18.719872,1096.9905271194875
103l-hydrolase,1404,6,2,312,99,3,459.161478,2.816439,2.81515,5.631589,22.187008,1.029216,23.216225,1713.6072688736022
alkane_674,2022,6,1,30,21,2,198.973428,1.439677,1.439146,2.878823,3.9536,0.479488,4.433088,875.2342329826206
alkane_1006,3018,6,1,30,21,2,417.244572,3.206922,3.20613,6.413052,5.781472,0.639456,6.420928,1786.35435202159
alkane_1338,4014,6,1,30,21,2,717.850902,5.672547,5.671493,11.34404,7.634432,0.742848,8.37728,3130.178733030334
alkane_1671,5013,6,1,30,21,2,1219.231399,8.847136,8.845819,17.692955,9.42976,0.957088,10.386848,4652.744532097131
