structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.506902,1e-06,0.0,2e-06,9.955808,0.700864,10.656672,747.6436060387641
S2,2,6,2,1,0,3,1.485308,3e-05,2.9e-05,5.9e-05,1.940576,1.0632,3.003776,4.087236011400819
SiH4,5,6,2,4,2,3,0.616028,1.8e-05,1.5e-05,3.3e-05,0.313888,1.157056,1.470944,2.4042660370469093
alkane_10,30,6,1,25,13,2,1.647515,0.000324,0.000317,0.000641,0.63568,0.260736,0.896416,1.8485500477254393
dna,387,6,2,164,69,3,125.384274,0.232068,0.231803,0.463871,6.023872,0.742912,6.766784,206.5722041297704
alkane_342,1026,6,1,30,21,2,77.044372,0.370811,0.370542,0.741353,2.141696,0.405728,2.547424,247.6118952035904
1lyz-lysozyme,1102,6,2,309,99,3,429.239803,1.7499,1.748891,3.498791,17.694143,0.936448,18.63059,1120.658233994618
103l-hydrolase,1404,6,2,312,99,3,604.709084,2.816439,2.81515,5.631589,22.181631,1.031424,23.213055,1757.3548988439145
alkane_674,2022,6,1,30,21,2,235.03839,1.439677,1.439146,2.878823,3.918976,0.45808,4.377056,829.3070308864116
alkane_1006,3018,6,1,30,21,2,462.422909,3.206922,3.20613,6.413052,5.778752,0.637952,6.416704,1843.90415600501
alkane_1338,4014,6,1,30,21,2,856.10444,5.672547,5.671493,11.34404,7.63888,0.730304,8.369184,3027.738427044824
alkane_1671,5013,6,1,30,21,2,1166.96828,8.847136,8.845819,17.692955,9.444608,0.946048,10.390656,4640.30014909804
