structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,5.369087,1e-06,0.0,2e-06,10.135008,0.681536,10.816544,638.6232681106776
S2,2,6,2,1,0,3,4.527539,3e-05,2.9e-05,5.9e-05,2.032384,1.090496,3.12288,4.316392121836543
SiH4,5,6,2,4,2,3,3.913862,1.8e-05,1.5e-05,3.3e-05,0.286432,0.563328,0.84976,1.818231074139476
GLU,29,6,1,28,14,2,4.165596,0.000453,0.000444,0.000896,0.447136,0.252352,0.699488,2.2911049891263247
alkane_10,30,6,1,25,13,2,3.763074,0.000324,0.000317,0.000641,0.474048,0.231776,0.705824,1.7325449734926224
dna,387,6,2,165,69,3,44.968294,0.232068,0.231803,0.463871,6.025408,0.741152,6.76656,169.5109868887812
alkane_342,1026,6,1,30,21,2,49.955447,0.370811,0.370542,0.741353,2.132288,0.407296,2.539584,246.33499397896233
1lyz-lysozyme,1102,6,2,311,99,3,341.45818,1.7499,1.748891,3.498791,17.721632,0.964128,18.68576,1189.5168090704829
103l-hydrolase,1404,6,2,311,99,3,362.5248,2.816439,2.81515,5.631588,22.186464,1.020096,23.20656,1720.9106560330838
alkane_674,2022,6,1,30,21,2,181.509339,1.439677,1.439146,2.878823,3.92944,0.454464,4.383904,890.538829145953
alkane_1006,3018,6,1,30,21,2,385.466832,3.206922,3.20613,6.413052,5.775648,0.641952,6.4176,1821.8515440821648
alkane_1338,4014,6,1,30,21,2,670.785728,5.672547,5.671493,11.34404,7.649024,0.737856,8.38688,3090.766126988456
alkane_1671,5013,6,1,30,21,2,1037.975255,8.847136,8.845819,17.692955,9.440288,0.961472,10.401759,4795.734754065052
