structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_transfer_time
GLU,29,6,1,28,14,2,84.487865,0.000453,0.000444,0.000896,11.482048,0.442272,11.92432,1.218752
alkane_64,192,6,1,30,20,2,26.773375,0.013026,0.012976,0.026002,1.124256,0.4384,1.562656,9.479776
alkane_128,384,6,1,30,21,2,30.22142,0.052005,0.051905,0.103909,1.96064,0.467968,2.428608,38.033791
dna,387,6,2,165,69,3,118.418229,0.232068,0.231803,0.463871,10.613664,1.211232,11.824896,186.631943
alkane_256,768,6,1,30,21,2,50.012103,0.207819,0.207618,0.415437,3.168256,0.631808,3.800064,155.214844
1lyz-lysozyme,1102,6,2,311,99,3,239.951641,1.7499,1.748891,3.498791,26.539007,1.552448,28.091455,1244.322021
103l-hydrolase,1404,6,2,311,99,3,339.54919,2.816439,2.81515,5.631589,32.780991,1.69472,34.475712,2008.862305
alkane_512,1536,6,1,30,21,2,94.167576,0.830875,0.830472,1.661347,5.540864,1.251168,6.792032,588.715027
alkane_1024,3072,6,1,30,21,2,293.517738,3.322695,3.321889,6.644584,10.413344,1.519296,11.93264,2391.341064
alkane_2048,6144,6,1,30,21,2,1122.811957,13.289168,13.287555,26.576724,19.293184,1.683456,20.976641,9391.109375
