structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,61.458693,1e-06,0.0,2e-06,9.681056,0.446432,10.127488,319.57296999462415
S2,2,6,2,1,0,3,63.783086,3e-05,2.9e-05,5.9e-05,2.481408,0.906912,3.38832,4.793713000253774
SiH4,5,6,2,4,2,3,90.995452,1.8e-05,1.5e-05,3.3e-05,0.387616,1.053376,1.440992,2.834413004165981
GLU,29,6,1,28,14,2,78.905187,0.000453,0.000444,0.000896,0.510048,0.693088,1.203136,3.25137499748962
alkane_10,30,6,1,25,13,2,43.324684,0.000324,0.000317,0.000641,0.662816,0.331808,0.994624,2.275351005664561
dna,387,6,2,165,69,3,89.339194,0.232067,0.231803,0.463871,6.754752,0.922112,7.676864,184.0989449992776
alkane_342,1026,6,1,30,21,2,72.443129,0.370811,0.370542,0.741353,2.41632,0.451136,2.867456,275.5087149998872
1lyz-lysozyme,1102,6,2,311,99,3,188.655645,1.7499,1.748891,3.498791,19.664801,1.20704,20.871841,1086.6175869959989
103l-hydrolase,1404,6,2,310,99,3,221.269138,2.816439,2.81515,5.631589,24.602272,1.337216,25.939487,1805.9061450039733
alkane_674,2022,6,1,30,21,2,139.622045,1.439677,1.439146,2.878823,4.491872,0.668064,5.159936,905.9302930036209
alkane_1006,3018,6,1,30,21,2,242.581994,3.206922,3.20613,6.413052,6.480064,0.79024,7.270304,2079.6096769990986
alkane_1338,4014,6,1,30,21,2,429.83691,5.672547,5.671493,11.34404,8.555808,0.90848,9.464288,3891.206162996241
alkane_1671,5013,6,1,30,21,2,628.024285,8.847136,8.845819,17.692955,10.519968,1.139488,11.659456,6570.574969999143
