structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,1.656767,1e-06,0.0,2e-06,10.121312,0.462048,10.58336,239.12880900024905
alkane_10,30,6,1,25,13,2,1.554976,0.000324,0.000317,0.000641,0.831424,0.317696,1.14912,2.166416001273319
dna,387,6,2,164,69,3,53.579788,0.232068,0.231803,0.463871,6.735488,0.894528,7.630016,184.65736199868843
alkane_342,1026,6,1,30,21,2,35.338825,0.370811,0.370542,0.741353,2.40336,0.44656,2.84992,238.20778999652248
1lyz-lysozyme,1102,6,2,311,99,3,400.283484,1.7499,1.748891,3.498791,19.641024,1.210368,20.851391,1082.0243909984129
103l-hydrolase,1404,6,2,310,99,3,282.82424,2.816439,2.81515,5.631588,24.610111,1.318528,25.928638,1897.4289940015296
alkane_674,2022,6,1,30,21,2,111.950543,1.439677,1.439146,2.878823,4.46992,0.642496,5.112416,911.3611260036125
alkane_1006,3018,6,1,30,21,2,230.43099,3.206922,3.20613,6.413052,6.487296,0.782976,7.270272,2025.8670090042872
alkane_1338,4014,6,1,30,21,2,394.936321,5.672547,5.671493,11.34404,8.559424,0.926208,9.485632,3409.9210420026798
alkane_1671,5013,6,1,30,21,2,800.913583,8.847136,8.845819,17.692955,10.49696,1.150848,11.647808,5099.684685999819
