structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.290663,1e-06,0.0,2e-06,10.217152,0.49808,10.715232,284.83628300455166
alkane_10,30,6,1,25,13,2,1.707974,0.000324,0.000317,0.000641,0.849248,0.419712,1.26896,2.2791040028096177
dna,387,6,2,164,69,3,149.630175,0.232068,0.231803,0.463871,6.752608,0.912384,7.664992,186.10008099494732
alkane_342,1026,6,1,30,21,2,68.424948,0.370811,0.370542,0.741353,2.40384,0.446976,2.850816,260.72517300053727
1lyz-lysozyme,1102,6,2,311,99,3,659.34343,1.749899,1.748891,3.498791,19.676096,1.21536,20.891457,1096.792201999051
103l-hydrolase,1404,6,2,314,99,3,661.012079,2.816439,2.81515,5.631589,24.606943,1.32656,25.933502,1866.5844190036296
alkane_674,2022,6,1,30,21,2,175.716171,1.439677,1.439146,2.878823,4.464096,0.629184,5.09328,908.9508379984179
alkane_1006,3018,6,1,30,21,2,328.829548,3.206922,3.20613,6.413052,6.47536,0.783968,7.259328,1950.4439730008016
alkane_1338,4014,6,1,30,21,2,530.016633,5.672547,5.671493,11.34404,8.56256,0.89536,9.45792,3445.403661004093
alkane_1671,5013,6,1,30,21,2,778.129693,8.847136,8.845819,17.692955,10.51552,1.138592,11.654112,5146.0884059997625
