structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.04688,1e-06,0.0,2e-06,10.00144,0.533024,10.534464,330.98443700146163
alkane_10,30,6,1,25,13,2,1.843976,0.000324,0.000317,0.000641,0.836768,0.458144,1.294912,2.3000150031293742
dna,387,6,2,165,69,3,277.715772,0.232067,0.231803,0.463871,6.74656,0.898112,7.644672,185.08435600233497
alkane_342,1026,6,1,30,21,2,102.442325,0.370811,0.370542,0.741353,2.407936,0.444064,2.852,265.66419100709027
1lyz-lysozyme,1102,6,2,310,99,3,710.376956,1.7499,1.748891,3.498791,19.672352,1.205408,20.87776,1187.2438920036077
103l-hydrolase,1404,6,2,310,99,3,922.510675,2.816439,2.81515,5.631589,24.608255,1.33168,25.939936,1910.7822209989536
alkane_674,2022,6,1,30,21,2,246.091278,1.439677,1.439146,2.878823,4.4688,0.630816,5.099616,875.3340170005685
alkane_1006,3018,6,1,30,21,2,492.324671,3.206922,3.20613,6.413052,6.481376,0.786112,7.267488,1881.957556004636
alkane_1338,4014,6,1,30,21,2,669.440323,5.672547,5.671493,11.34404,8.556448,0.896864,9.453312,3424.23369899916
alkane_1671,5013,6,1,30,21,2,967.817057,8.847136,8.845819,17.692955,10.500672,1.148352,11.649024,5112.813154999458
