structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,6.176979,1e-06,0.0,2e-06,10.050368,0.50928,10.559649,252.80406700039748
GLU,29,6,1,28,14,2,4.38438,0.000453,0.000444,0.000896,0.542656,0.30976,0.852416,2.8274910000618547
alkane_10,30,6,1,25,13,2,4.531008,0.000324,0.000317,0.000641,0.843424,0.336608,1.180032,2.3677360004512598
dna,387,6,2,164,69,3,29.053979,0.232068,0.231803,0.463871,6.743168,0.861216,7.604384,189.46539999888049
alkane_342,1026,6,1,30,21,2,29.817536,0.370811,0.370542,0.741353,2.39216,0.456352,2.848512,269.47827100229915
1lyz-lysozyme,1102,6,2,310,99,3,318.262651,1.7499,1.748891,3.498791,19.648993,1.173824,20.822817,1103.9567429979795
103l-hydrolase,1404,6,2,313,99,3,203.124583,2.816438,2.81515,5.631588,24.588032,1.295648,25.88368,1716.2227660010103
alkane_674,2022,6,1,30,21,2,95.734934,1.439677,1.439146,2.878823,4.444768,0.608,5.052768,897.1961129936972
alkane_1006,3018,6,1,30,21,2,206.930793,3.206922,3.20613,6.413052,6.479072,0.776864,7.255936,1968.9346740051408
alkane_1338,4014,6,1,30,21,2,368.312275,5.672547,5.671493,11.34404,8.548736,0.907744,9.45648,3442.2532829994448
alkane_1671,5013,6,1,30,21,2,563.082506,8.847136,8.845819,17.692955,10.519552,1.147808,11.66736,5211.431245996208
