structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,8.23175,1e-06,0.0,2e-06,10.055776,0.535808,10.591583,249.33172600140097
alkane_10,30,6,1,25,13,2,5.839287,0.000324,0.000317,0.000641,0.62416,0.319776,0.943936,2.0096430016565137
dna,387,6,2,165,69,3,27.665332,0.232067,0.231803,0.463871,6.71552,0.853888,7.569408,190.3619529985008
alkane_342,1026,6,1,30,21,2,29.449729,0.370811,0.370542,0.741353,2.368672,0.43424,2.802912,232.91445799986832
1lyz-lysozyme,1102,6,2,309,99,3,257.06998,1.7499,1.748891,3.498791,19.603231,1.169184,20.772415,1180.7873609941453
103l-hydrolase,1404,6,2,312,99,3,198.810216,2.816439,2.81515,5.631588,24.557089,1.301536,25.858625,1825.5875399991053
alkane_674,2022,6,1,30,21,2,95.975235,1.439677,1.439146,2.878823,4.436768,0.595072,5.03184,887.8194740027537
alkane_1006,3018,6,1,30,21,2,203.72022,3.206922,3.20613,6.413052,6.43824,0.766592,7.204832,2004.0914099954532
alkane_1338,4014,6,1,30,21,2,476.92078,5.672547,5.671493,11.34404,8.507232,0.896032,9.403264,3299.083273006545
alkane_1671,5013,6,1,30,21,2,554.654665,8.847136,8.845819,17.692955,10.461952,1.13792,11.599873,5169.148639994091
