structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,3.164692,1e-06,0.0,2e-06,11.523328,0.545824,12.069152,238.78421699919272
alkane_10,30,6,1,25,13,2,2.446684,0.000324,0.000317,0.000641,0.8392,0.44592,1.28512,2.3255729975062422
dna,387,6,2,164,69,3,36.134852,0.232067,0.231803,0.463871,6.717824,0.86144,7.579264,187.6140849999501
alkane_342,1026,6,1,30,21,2,30.41837,0.370811,0.370542,0.741353,2.373088,0.435776,2.808864,272.1089970000321
1lyz-lysozyme,1102,6,2,311,99,3,354.344821,1.7499,1.748891,3.498791,19.616512,1.176896,20.793407,1095.8835019991966
103l-hydrolase,1404,6,2,311,99,3,227.922393,2.816439,2.81515,5.631588,24.565664,1.271488,25.837152,1941.2643629984811
alkane_674,2022,6,1,30,21,2,100.808725,1.439677,1.439146,2.878823,4.426496,0.5864,5.012896,924.8201730006258
alkane_1006,3018,6,1,30,21,2,221.031533,3.206922,3.20613,6.413052,6.435904,0.775328,7.211232,2025.8455310031425
alkane_1338,4014,6,1,30,21,2,377.721041,5.672547,5.671493,11.34404,8.514848,0.893728,9.408576,3546.220659001847
alkane_1671,5013,6,1,30,21,2,762.648893,8.847136,8.845819,17.692955,10.461568,1.15392,11.615488,5169.558305002283
