structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time,gpu_gb_in,gpu_gb_out,gpu_gb_total,gpu_between_atoms,gpu_in_atoms,gpu_time,gpu_walltime
H2,2,6,0,1,0,1,0.736947,1e-06,0.0,2e-06,9.875776,0.557888,10.433664,243.5899289994268
alkane_10,30,6,1,25,13,2,1.311523,0.000324,0.000317,0.000641,0.828192,0.329344,1.157536,2.130982997186948
dna,387,6,2,165,69,3,84.61479,0.232068,0.231803,0.463871,6.704608,0.869472,7.57408,201.95819600485265
alkane_342,1026,6,1,30,21,2,47.979647,0.370811,0.370542,0.741353,2.37232,0.429088,2.801408,269.2649250020622
1lyz-lysozyme,1102,6,2,313,99,3,477.304564,1.7499,1.748891,3.498791,19.760639,1.19616,20.956799,1103.7606009995216
103l-hydrolase,1404,6,2,311,99,3,395.02233,2.816439,2.81515,5.631588,24.572256,1.336864,25.909121,1897.4254409986315
alkane_674,2022,6,1,30,21,2,133.673805,1.439677,1.439146,2.878823,4.442464,0.581696,5.02416,887.7042320018519
alkane_1006,3018,6,1,30,21,2,263.210771,3.206922,3.20613,6.413052,6.446784,0.773344,7.220128,1969.143027003156
alkane_1338,4014,6,1,30,21,2,437.967229,5.672547,5.671493,11.34404,8.505888,0.904192,9.41008,3370.182817001478
alkane_1671,5013,6,1,30,21,2,780.146979,8.847136,8.845819,17.692955,10.475168,1.134336,11.609505,5196.262295998167
