structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time
alkane_64,192,6,1,30,20,2,9.229649
alkane_128,384,6,1,30,21,2,13.861772
alkane_256,768,6,1,30,21,2,28.64185
103l-hydrolase,1404,6,2,314,99,3,294.885561
alkane_512,1536,6,1,30,21,2,75.033596
alkane_1024,3072,6,1,30,21,2,264.366231
alkane_2048,6144,6,1,30,21,2,991.102502
