structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time
alkane_64,192,6,1,30,20,2,16.223582
alkane_128,384,6,1,30,21,2,32.757154
alkane_256,768,6,1,30,21,2,77.568121
103l-hydrolase,1404,6,2,311,99,3,879.748899
alkane_512,1536,6,1,30,21,2,171.027824
alkane_1024,3072,6,1,30,21,2,464.939974
alkane_2048,6144,6,1,30,21,2,1415.457395
