structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time
alkane_64,192,6,1,30,20,2,9.181576
alkane_128,384,6,1,30,21,2,19.125822
alkane_256,768,6,1,30,21,2,46.384837
103l-hydrolase,1404,6,2,312,99,3,557.785188
alkane_512,1536,6,1,30,21,2,122.565901
alkane_1024,3072,6,1,30,21,2,351.568293
alkane_2048,6144,6,1,30,21,2,1183.893185
