structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time
GLU,29,6,1,28,14,2,12.926781
alkane_64,192,6,1,30,20,2,7.539956
alkane_128,384,6,1,30,21,2,12.868747
dna,387,6,2,166,69,3,57.02862
alkane_256,768,6,1,30,21,2,28.582178
1lyz-lysozyme,1102,6,2,308,99,3,231.494165
103l-hydrolase,1404,6,2,312,99,3,324.561817
alkane_512,1536,6,1,30,21,2,83.130808
alkane_1024,3072,6,1,30,21,2,285.172123
alkane_2048,6144,6,1,30,21,2,1457.92906
