structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time
alkane_64,192,6,1,30,20,2,7.432862
alkane_128,384,6,1,30,21,2,16.15134
alkane_256,768,6,1,30,21,2,39.179279
103l-hydrolase,1404,6,2,312,99,3,390.167164
alkane_512,1536,6,1,30,21,2,99.516288
alkane_1024,3072,6,1,30,21,2,303.299102
alkane_2048,6144,6,1,30,21,2,1054.353369
