structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time
alkane_64,192,6,1,30,20,2,27.576135
alkane_128,384,6,1,30,21,2,58.374596
alkane_256,768,6,1,30,21,2,127.952297
103l-hydrolase,1404,6,2,310,99,3,1575.728317
alkane_512,1536,6,1,30,21,2,279.308855
alkane_1024,3072,6,1,30,21,2,704.700987
alkane_2048,6144,6,1,30,21,2,1870.311269
