structure,nat,nprim,maxl,max_nnl,mean_nnl,max_nsh,cpu_time
alkane_64,192,6,1,30,20,2,5.392246
alkane_128,384,6,1,30,21,2,11.499846
alkane_256,768,6,1,30,21,2,26.864367
103l-hydrolase,1404,6,2,311,99,3,324.772773
alkane_512,1536,6,1,30,21,2,82.112935
alkane_1024,3072,6,1,30,21,2,285.190873
alkane_2048,6144,6,1,30,21,2,1034.358555
